Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating 1 Q Ahead,Market Cap,Industry_Number
3,-2.31,0.34,-2.66,182.12,165.86,159.92,85,58.34,14.11,12.37,8.23,14.11,12.37,8.23,0,550883.9486,1
3,-2.26,0.6,-2.6,122.28,98.5,102.82,100,54.35,24,19.1,13.05,25.67,20.42,13.95,0,591015.7207,1
3,-1.98,0.67,-2.28,114.21,80.94,97.09,115,48.11,25.99,19.74,12.5,31.64,24.04,15.22,0,664153.5018,1
3,-2.09,0.61,-2.39,204.74,180.18,185.08,131,47.09,26.36,20.35,12.41,29.52,22.79,13.9,0,710200.7635,1
3,-2.05,0.69,-2.34,127.34,112.81,112.13,163,49.39,31.06,23.18,15.34,34.01,25.38,16.8,0,723159.45,1
3,-1.91,0.8,-2.19,85.41,75.24,70.06,201,46.01,37.73,26.33,17.36,43.3,30.22,19.92,0,639938.7566,1
3,-1.71,0.9,-1.98,74.55,59.34,61.44,238,41.09,44.79,29.08,18.41,54.01,35.07,22.19,0,598970.9306,1
3,-1.85,0.88,-2.15,98.28,85.19,87.58,276,43.73,41.48,27.82,18.14,49.09,32.93,21.47,0,578907.3888,1
3,-1.95,1.19,-2.29,51.29,44.01,43.57,321,42.73,53.18,32.98,22.72,61.22,37.97,26.16,0,503721.611,1
4,2.81,4.05,3.87,4.31,2.42,3.18,118,30.89,139.4,58.18,43.07,139.62,58.27,43.14,2,8032.4125,2
4,2.63,3.72,3.59,4.2,3.23,3.09,123,32.79,126.35,55.76,41.43,126.58,55.87,41.51,2,9759.1825,2
4,2.36,3.32,3.2,4.55,3.54,3.4,118,34.94,110.1,52.35,38.47,110.3,52.45,38.53,2,13470.8182,2
4,2.2,3.05,2.95,5.12,3.73,3.88,113,37.29,98.3,49.5,36.65,98.58,49.64,36.76,1,14948.8877,2
4,1.81,2.5,2.4,6,3.99,4.61,102,39.08,82.73,45.15,32.34,83.23,45.42,32.53,1,14805.4938,2
4,1.79,2.46,2.36,6.45,4.3,4.92,97,39.5,82.55,45.08,32.61,83.12,45.39,32.83,1,18111.5885,2
4,1.68,2.28,2.19,7.88,5.49,6.13,86,39.49,81.51,44.74,32.19,82.17,45.11,32.45,1,19571.3397,2
4,1.57,2.11,2.03,9.61,7.37,7.56,75,40.07,78.46,43.93,31.44,78.63,44.02,31.5,1,18855.7786,2
